,Title,Tomatometer,Rotten rank,Year,Critic Rating,Genre,Difference
0,Black Panther,9.6,1,2018,8.28,Action,1.3200000000000003
1,Avengers: Endgame,9.4,2,2019,8.22,Action,1.1799999999999997
2,Us,9.3,3,2019,7.95,Horror,1.3500000000000005
3,Toy Story 4,9.7,4,2019,8.36,Animation,1.3399999999999999
4,The Wizard of Oz,9.8,5,1939,9.4,Kids,0.40000000000000036
5,Mission: Impossible - Fallout,9.7,6,2018,8.36,Action,1.3399999999999999
6,Lady Bird,9.9,7,2017,8.75,Comedy,1.1500000000000004
7,Citizen Kane,10.0,8,1941,9.61,Drama,0.39000000000000057
8,The Irishman,9.6,9,2019,8.77,Drama,0.8300000000000001
9,BlacKkKlansman,9.6,10,2018,8.32,Comedy,1.2799999999999994
10,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),10.0,11,1920,9.28,Art,0.7200000000000006
11,Get Out,9.8,12,2017,8.33,Horror,1.4700000000000006
12,Casablanca,9.9,13,1942,9.41,Drama,0.4900000000000002
13,Spider-Man: Into the Spider-Verse,9.7,14,2018,8.78,Action,0.9199999999999999
14,Mad Max: Fury Road,9.7,15,2015,8.6,Action,1.0999999999999996
15,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",9.7,16,1922,9.07,Art,0.629999999999999
16,Moonlight,9.8,17,2016,8.99,Drama,0.8100000000000005
17,Booksmart,9.7,18,2019,8.3,Comedy,1.3999999999999986
18,A Star Is Born,9.0,19,2018,8.03,Drama,0.9700000000000006
19,Wonder Woman,9.3,20,2017,7.64,Action,1.660000000000001
20,The Farewell,9.8,21,2019,8.54,Comedy,1.2600000000000016
21,Inside Out,9.8,22,2015,8.93,Animation,0.870000000000001
22,A Quiet Place,9.6,23,2018,8.17,Drama,1.4299999999999997
23,Modern Times,10.0,24,1936,9.02,Comedy,0.9800000000000004
24,The Third Man,9.9,25,1949,9.3,Mystery,0.5999999999999996
25,Eighth Grade,9.9,26,2018,8.84,Comedy,1.0600000000000005
26,It Happened One Night,9.8,27,1934,9.13,Comedy,0.6699999999999999
27,Roma,9.5,28,2018,8.94,Drama,0.5600000000000005
28,Dunkirk,9.2,29,2017,8.68,Action,0.5199999999999996
29,La Grande illusion (Grand Illusion),9.7,30,1938,9.37,Art,0.33000000000000007
30,Coco,9.7,31,2017,8.3,Action,1.3999999999999986
31,The Godfather,9.8,32,1972,9.3,Drama,0.5
32,Spotlight,9.7,33,2015,8.81,Drama,0.8899999999999988
33,Selma,9.9,34,2014,8.51,Drama,1.3900000000000006
34,Snow White and the Seven Dwarfs,9.8,35,1937,8.78,Animation,1.0200000000000014
35,Thor: Ragnarok,9.3,36,2017,7.58,Action,1.7200000000000006
36,Singin' in the Rain,10.0,37,1952,9.27,Comedy,0.7300000000000004
37,The Shape of Water,9.2,38,2017,8.38,Drama,0.8199999999999985
38,Arrival,9.4,39,2016,8.41,Drama,0.9900000000000002
39,All About Eve,9.9,40,1950,9.29,Drama,0.6100000000000012
40,Spider-Man: Far From Home,9.1,41,2019,7.45,Action,1.6499999999999995
41,Logan,9.3,42,2017,7.93,Action,1.370000000000001
42,E.T. The Extra-Terrestrial,9.8,43,1982,9.23,Kids,0.5700000000000003
43,Call Me by Your Name,9.5,44,2018,8.7,Drama,0.8000000000000007
44,The Big Sick,9.8,45,2017,8.29,Comedy,1.5100000000000016
45,The Favourite,9.3,46,2018,8.5,Drama,0.8000000000000007
46,Incredibles 2,9.4,47,2018,7.86,Action,1.54
47,Star Wars: The Last Jedi,9.0,48,2017,8.09,Action,0.9100000000000001
48,King Kong,9.8,49,1933,8.99,Action,0.8100000000000005
49,Shadow of a Doubt,10.0,50,1943,9.19,Drama,0.8100000000000005
50,The Bride of Frankenstein,10.0,51,1935,9.14,Horror,0.8599999999999994
51,Paddington 2,10.0,52,2018,8.77,Animation,1.2300000000000004
52,Star Wars: Episode VII - The Force Awakens,9.3,53,2015,8.26,Action,1.040000000000001
53,Laura,10.0,54,1944,8.79,Mystery,1.2100000000000009
54,The Adventures of Robin Hood,10.0,55,1938,9.0,Action,1.0
55,Gravity,9.6,56,2013,8.98,Drama,0.6199999999999992
56,Once Upon a Time In Hollywood,8.5,57,2019,7.83,Comedy,0.6699999999999999
57,Boyhood,9.7,58,2014,9.24,Drama,0.4599999999999991
58,Alien,9.8,59,1979,9.1,Drama,0.7000000000000011
59,Leave No Trace,10.0,60,2018,8.56,Drama,1.4399999999999995
60,Manchester by the Sea,9.6,61,2016,8.83,Drama,0.7699999999999996
61,Argo,9.6,62,2012,8.36,Drama,1.2400000000000002
62,La La Land,9.1,63,2016,8.65,Comedy,0.4499999999999993
63,12 Years a Slave,9.5,64,2013,8.89,Drama,0.6099999999999994
64,Zootopia,9.8,65,2016,8.08,Action,1.7200000000000006
65,The Battle of Algiers (La Battaglia di Algeri),9.9,66,1967,9.06,Art,0.8399999999999999
66,The Maltese Falcon,10.0,67,1941,9.06,Drama,0.9399999999999995
67,Top Hat,10.0,68,1935,8.65,Comedy,1.3499999999999996
68,A Hard Day's Night,9.8,69,1964,8.49,Comedy,1.3100000000000005
69,War for the Planet of the Apes,9.4,70,2017,8.18,Action,1.2200000000000006
70,Psycho,9.6,71,1960,9.21,Horror,0.3899999999999988
71,The Florida Project,9.6,72,2017,8.78,Drama,0.8200000000000003
72,The Philadelphia Story,10.0,73,1940,8.78,Comedy,1.2200000000000006
73,Widows,9.1,74,2018,8.1,Drama,1.0
74,Metropolis,9.7,75,1927,9.1,Action,0.5999999999999996
75,Spider-Man: Homecoming,9.2,76,2017,7.67,Action,1.5299999999999994
76,M,10.0,77,1931,9.24,Art,0.7599999999999998
77,Rebecca,10.0,78,1940,8.83,Drama,1.17
78,The Night of the Hunter,9.9,79,1955,9.07,Drama,0.8300000000000001
79,North by Northwest,9.9,80,1959,9.06,Mystery,0.8399999999999999
80,Seven Samurai (Shichinin no Samurai),10.0,81,1956,9.35,Action,0.6500000000000004
81,Baby Driver,9.2,82,2017,8.01,Action,1.1899999999999995
82,"Three Billboards Outside Ebbing, Missouri",9.1,83,2017,8.4,Comedy,0.6999999999999993
83,Shoplifters (Manbiki kazoku),9.9,84,2018,8.81,Art,1.0899999999999999
84,Shazam!,9.0,85,2019,7.26,Action,1.7400000000000002
85,Sunset Boulevard,9.8,86,1950,9.29,Drama,0.5100000000000016
86,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief),9.8,87,1949,9.14,Drama,0.6600000000000001
87,Hell or High Water,9.7,88,2016,8.48,Drama,1.2199999999999989
88,Touch of Evil,9.6,89,1958,8.88,Drama,0.7199999999999989
89,Up,9.8,90,2009,8.71,Action,1.0899999999999999
90,Pinocchio,10.0,91,1940,9.1,Animation,0.9000000000000004
91,Jaws,9.8,92,1975,9.2,Action,0.6000000000000014
92,Toy Story 2,10.0,93,1999,8.68,Animation,1.3200000000000003
93,Captain America: Civil War,9.1,94,2016,7.72,Action,1.38
94,A Streetcar Named Desire,9.8,95,1951,8.64,Drama,1.1600000000000001
95,Won't You Be My Neighbor?,9.7,96,2018,8.72,Documentary,0.9799999999999986
96,Chinatown,9.9,97,1974,9.34,Drama,0.5600000000000005
97,Lawrence of Arabia,9.8,98,1962,9.27,Action,0.5300000000000011
98,I Am Not Your Negro,9.9,99,2017,8.89,Documentary,1.0099999999999998
99,Rear Window,9.9,100,1954,9.16,Drama,0.7400000000000002
